PORTES : Etage 3, No. 1, Temps: 89
PORTES : Etage 3, No. 1, Temps: 89
DEPART : Etage 0, No. 0, Temps: 89
ARRIVEE: Etage 2, No. 1, Temps: 89
ARRIVEE: Etage 2, No. 1, Temps: 89
ARRIVEE: Etage 1, No. 0, Temps: 89
DEPART : Etage 0, No. 0, Temps: 90
PORTES : Etage 0, No. 2, Temps: 90
DEPART : Etage 0, No. 2, Temps: 90
DEPART : Etage 0, No. 2, Temps: 90
ARRIVEE: Etage 1, No. 0, Temps: 90
DEPART : Etage 0, No. 0, Temps: 91
DEPART : Etage 0, No. 0, Temps: 91
DEPART : Etage 2, No. 1, Temps: 91
DEPART : Etage 2, No. 1, Temps: 91
DEPART : Etage 2, No. 1, Temps: 91
PORTES : Etage 0, No. 0, Temps: 91
PORTES : Etage 3, No. 1, Temps: 91
DEPART : Etage 0, No. 2, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
DEPART : Etage 3, No. 1, Temps: 91
ARRIVEE: Etage 1, No. 0, Temps: 91
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
PORTES : Etage 3, No. 1, Temps: 92
ARRIVEE: Etage 0, No. 0, Temps: 92
DEPART : Etage 0, No. 2, Temps: 92
ARRIVEE: Etage 1, No. 2, Temps: 92
ARRIVEE: Etage 1, No. 2, Temps: 92
DEPART : Etage 0, No. 2, Temps: 93
DEPART : Etage 0, No. 2, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
PORTES : Etage 3, No. 1, Temps: 93
ARRIVEE: Etage 0, No. 0, Temps: 93
ARRIVEE: Etage 0, No. 0, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
ARRIVEE: Etage 1, No. 2, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
ARRIVEE: Etage 1, No. 1, Temps: 93
